city,district,date,city_detainees,district_detainees,location,lat,lon
Москва,ОМВД России по району Крюково г. Москвы,24.02.2022,1082,14,ОМВД России по району Крюково г. Москвы,55.9776,37.15114
Москва,Отдел МВД России по району Капотня,24.02.2022,1082,23,"Отдел МВД России по району Капотня, Москва",55.63711,37.80428
Москва,ОМВД России по району Сокольники г. Москвы,24.02.2022,1082,18,ОМВД России по району Сокольники г. Москвы,55.78633,37.67562
Москва,Отдел МВД России по району Ново-Переделкино г. Москвы,24.02.2022,1082,15,Отдел МВД России по району Ново-Переделкино г. Москвы,55.63603,37.35475
Москва,ОМВД России по району Хамовники г. Москвы,24.02.2022,1082,8,ОМВД России по району Хамовники г. Москвы,55.72544,37.56238
Москва,ОМВД России по району Тверской г. Москвы,24.02.2022,1082,14,ОМВД России по району Тверской г. Москвы,55.76997,37.61325
Москва,Участковый пункт полиции № 4 по Академческому району,24.02.2022,1082,4,"Участковый пункт полиции № 4 по Академческому району, Москва",55.68946,37.57638
Москва,ОМВД Медведково Северное,24.02.2022,1082,24,"ОМВД Медведково Северное, Москва",55.88947,37.65488
Москва,Отдел МВД России по району Лефортово,24.02.2022,1082,10,"Отдел МВД России по району Лефортово, Москва",55.75797,37.68042
Москва,Отдел МВД России по району Ивановское г. Москвы,24.02.2022,1082,24,Отдел МВД России по району Ивановское г. Москвы,55.76183,37.83056
Москва,ОМВД России по Пресненскому району г. Москвы,24.02.2022,1082,4,ОМВД России по Пресненскому району г. Москвы,55.76062,37.5423
Москва,Отдел МВД России по району Строгино г. Москвы,24.02.2022,1082,10,Отдел МВД России по району Строгино г. Москвы,55.7949,37.39461
Москва,ОМВД России по району Аэропорт,24.02.2022,1082,22,"ОМВД России по району Аэропорт, Москва",55.80541,37.53761
Москва,Отдел МВД России по району Новогиреево г. Москвы,24.02.2022,1082,21,Отдел МВД России по району Новогиреево г. Москвы,55.74848,37.80502
Москва,Отдел МВД России по району Басманный г. Москвы,24.02.2022,1082,19,Отдел МВД России по району Басманный г. Москвы,55.76985,37.66676
Москва,Отдел МВД России по району Хорошево-Мневники г. Москвы,24.02.2022,1082,27,Отдел МВД России по району Хорошево-Мневники г. Москвы,55.79041,37.4642
Москва,ОМВД Отрадное,24.02.2022,1082,13,"ОМВД Отрадное, Москва",55.85799,37.61839
Москва,ОМВД России по району Бутово Южное г. Москвы,24.02.2022,1082,18,ОМВД России по району Бутово Южное г. Москвы,55.54416,37.54387
Москва,Отдел МВД России по району Покровское-Стрешнево г. Москвы,24.02.2022,1082,25,Отдел МВД России по району Покровское-Стрешнево г. Москвы,55.81755,37.44862
Москва,ОМВД России по району Дегунино Восточное г. Москвы,24.02.2022,1082,11,ОМВД России по району Дегунино Восточное г. Москвы,55.87035,37.56161
Москва,Отдел полиции № 1 МУ МВД «Орехово-Зуевское»,24.02.2022,1082,1,"Отдел полиции № 1 МУ МВД «Орехово-Зуевское», Москва",55.75626,37.60921
Москва,ОМВД Бутырский,24.02.2022,1082,16,"ОМВД Бутырский, Москва",55.8112,37.58936
Москва,Отдел МВД России по району Северное Тушино г. Москвы,24.02.2022,1082,22,Отдел МВД России по району Северное Тушино г. Москвы,55.86016,37.43437
Москва,ОМВД Лосиноостровский,24.02.2022,1082,24,"ОМВД Лосиноостровский, Москва",55.87377,37.68795
Москва,Отдел МВД России по району Арбат г. Москвы,24.02.2022,1082,2,Отдел МВД России по району Арбат г. Москвы,55.74781,37.58908
Москва,Отдел МВД России по району Кузьминки,24.02.2022,1082,20,"Отдел МВД России по району Кузьминки, Москва",55.69747,37.78293
Москва,ОМВД России по району Преображенское г. Москвы,24.02.2022,1082,16,ОМВД России по району Преображенское г. Москвы,55.7906,37.71015
Москва,ОМВД России по районам Матушкино и Савелки г. Москвы,24.02.2022,1082,16,ОМВД России по районам Матушкино и Савелки г. Москвы,56.01058,37.19716
Москва,ОМВД Ярославский,24.02.2022,1082,21,"ОМВД Ярославский, Москва",55.86023,37.68909
Москва,Отдел МВД России по району Измайлово Северное г. Москвы,24.02.2022,1082,18,Отдел МВД России по району Измайлово Северное г. Москвы,55.80705,37.78877
Москва,ОМВД России по Головинскому району,24.02.2022,1082,29,"ОМВД России по Головинскому району, Москва",55.85064,37.49928
Москва,Отдел МВД России по району Щукино г. Москвы,24.02.2022,1082,13,Отдел МВД России по району Щукино г. Москвы,55.81043,37.45483
Москва,Лужники (отдел полиции по охране с/к),24.02.2022,1082,6,"Лужники (отдел полиции по охране с/к), Москва",55.71947,37.55639
Москва,ОМВД России по Нагорному району г. Москвы,24.02.2022,1082,1,ОМВД России по Нагорному району г. Москвы,55.64461,37.60675
Москва,ОМВД России по району Перово г. Москвы,24.02.2022,1082,24,ОМВД России по району Перово г. Москвы,55.76334,37.78748
Москва,Отдел МВД России по району Выхино-Жулебино г. Москвы,24.02.2022,1082,12,Отдел МВД России по району Выхино-Жулебино г. Москвы,55.70563,37.80769
Москва,ОМВД России по району Бирюлёво Восточное г. Москвы,24.02.2022,1082,24,ОМВД России по району Бирюлёво Восточное г. Москвы,55.58268,37.69065
Москва,ОМВД России по району Коптево г. Москвы,24.02.2022,1082,7,ОМВД России по району Коптево г. Москвы,55.83427,37.52394
Москва,ОМВД России по району Бескудниково,24.02.2022,1082,28,"ОМВД России по району Бескудниково, Москва",55.87035,37.56161
Москва,МО МВД России «Щербинский» г. Москвы,24.02.2022,1082,2,МО МВД России «Щербинский» г. Москвы,55.50029,37.54198
Москва,ОМВД России по району Академический г. Москвы,24.02.2022,1082,7,ОМВД России по району Академический г. Москвы,55.68163,37.58746
Москва,ОМВД России по району Орехово-Борисово Южное г. Москвы,24.02.2022,1082,18,ОМВД России по району Орехово-Борисово Южное г. Москвы,55.59971,37.73879
Москва,ОМВД России по району Ховрино г. Москвы,24.02.2022,1082,25,ОМВД России по району Ховрино г. Москвы,55.87033,37.48669
Москва,ОМВД России по району Ясенево г. Москвы,24.02.2022,1082,2,ОМВД России по району Ясенево г. Москвы,55.6096,37.51387
Москва,ОМВД России по району Тропарево-Никулино г. Москва,24.02.2022,1082,1,ОМВД России по району Тропарево-Никулино г. Москва,55.67482,37.49531
Москва,ОМВД Останкинский,24.02.2022,1082,1,"ОМВД Останкинский, Москва",55.81298,37.63553
Москва,ОМВД России по району Солнцево г. Москвы,24.02.2022,1082,24,ОМВД России по району Солнцево г. Москвы,55.64386,37.40979
Москва,ОМВД России по району Тимирязевский г. Москвы,24.02.2022,1082,1,ОМВД России по району Тимирязевский г. Москвы,55.8112,37.58936
Москва,Отдел МВД России по району Некрасовка,24.02.2022,1082,2,"Отдел МВД России по району Некрасовка, Москва",55.70751,37.93009
Москва,Отдел МВД России по району Крылатское г. Москвы,24.02.2022,1082,34,Отдел МВД России по району Крылатское г. Москвы,55.76386,37.4044
Москва,ОМВД России по району Теплый Стан г. Москвы,24.02.2022,1082,7,ОМВД России по району Теплый Стан г. Москвы,55.6096,37.51387
Москва,Отдел МВД России по району Кунцево г. Москвы,24.02.2022,1082,1,Отдел МВД России по району Кунцево г. Москвы,55.72846,37.407470000000004
Москва,ОМВД Марфино,24.02.2022,1082,1,"ОМВД Марфино, Москва",55.8437,37.57382
Москва,Отдел МВД России по району Текстильщики,24.02.2022,1082,12,"Отдел МВД России по району Текстильщики, Москва",55.72594,37.71579
Москва,"Задержаны, но пока неизвестно, в каких отделах находятся: 177",24.02.2022,1082,177,NA,NA,NA
Санкт-Петербург,Отдел полиции № 51 Московского района г. Санкт-Петербурга,24.02.2022,476,16,Отдел полиции № 51 Московского района г. Санкт-Петербурга,59.84048,30.32983
Санкт-Петербург,Отдел полиции № 75 Невского района г. Санкт-Петербурга,24.02.2022,476,13,Отдел полиции № 75 Невского района г. Санкт-Петербурга,59.89734,30.49593
Санкт-Петербург,Отдел полиции № 8 Кировского района г. Санкт-Петербурга,24.02.2022,476,13,Отдел полиции № 8 Кировского района г. Санкт-Петербурга,59.8414,30.22806
Санкт-Петербург,Отдел полиции № 80 Колпинского района г. Санкт-Петербурга,24.02.2022,476,4,Отдел полиции № 80 Колпинского района г. Санкт-Петербурга,59.73741,30.61865
Санкт-Петербург,Отдел полиции № 70 Невского района г. Санкт-Петербурга,24.02.2022,476,15,Отдел полиции № 70 Невского района г. Санкт-Петербурга,59.88335,30.45471
Санкт-Петербург,Отдел полиции № 77 Адмиралтейского района г. Санкт-Петербурга,24.02.2022,476,9,Отдел полиции № 77 Адмиралтейского района г. Санкт-Петербурга,59.90985,30.28225
Санкт-Петербург,Отдел полиции № 28 Центрального района г. Санкт-Петербурга,24.02.2022,476,5,Отдел полиции № 28 Центрального района г. Санкт-Петербурга,59.92033,30.33995
Санкт-Петербург,Отдел полиции № 1 Адмиралтейского района г. Санкт-Петербурга,24.02.2022,476,9,Отдел полиции № 1 Адмиралтейского района г. Санкт-Петербурга,59.93244,30.29893
Санкт-Петербург,Отдел полиции № 26 по Красногвардейскому району г. Санкт-Петербурга,24.02.2022,476,7,Отдел полиции № 26 по Красногвардейскому району г. Санкт-Петербурга,59.96174,30.48647
Санкт-Петербург,Отдел полиции № 20 Выборгского район г. Санкт-Петербурга,24.02.2022,476,1,Отдел полиции № 20 Выборгского район г. Санкт-Петербурга,60.04146,30.36872
Санкт-Петербург,Отдел полиции № 45 Невского района г. Санкт-Петербурга,24.02.2022,476,4,Отдел полиции № 45 Невского района г. Санкт-Петербурга,59.84235,30.49715
Санкт-Петербург,Отдел полиции № 29 Московского района г. Санкт-Петербурга,24.02.2022,476,12,Отдел полиции № 29 Московского района г. Санкт-Петербурга,59.86036,30.31186
Санкт-Петербург,Отдел полиции № 76 Центрального района г. Санкт-Петербурга,24.02.2022,476,4,Отдел полиции № 76 Центрального района г. Санкт-Петербурга,59.93111,30.37487
Санкт-Петербург,Отдел полиции № 52 Красногвардейского района г. Санкт-Петербурга,24.02.2022,476,19,Отдел полиции № 52 Красногвардейского района г. Санкт-Петербурга,59.93166,30.4194
Санкт-Петербург,Отдел полиции № 32 Невского района г. Санкт-Петербурга,24.02.2022,476,28,Отдел полиции № 32 Невского района г. Санкт-Петербурга,59.8559,30.47253
Санкт-Петербург,Отдел полиции № 33 Московского района г. Санкт-Петербурга,24.02.2022,476,17,Отдел полиции № 33 Московского района г. Санкт-Петербурга,59.8597,30.3514
Санкт-Петербург,Отдел полиции № 35 Приморского района г. Санкт-Петербурга,24.02.2022,476,19,Отдел полиции № 35 Приморского района г. Санкт-Петербурга,59.99489,30.28418
Санкт-Петербург,Отдел полиции № 7 Фрунзенского района г. Санкт-Петербурга,24.02.2022,476,20,Отдел полиции № 7 Фрунзенского района г. Санкт-Петербурга,59.82654,30.41108
Санкт-Петербург,Отдел полиции № 43 Петроградского района г. Санкт-Петербурга,24.02.2022,476,1,Отдел полиции № 43 Петроградского района г. Санкт-Петербурга,59.96264,30.32564
Санкт-Петербург,Отдел полиции № 42 Красносельского района г. Санкт-Петербурга,24.02.2022,476,2,Отдел полиции № 42 Красносельского района г. Санкт-Петербурга,59.84434,30.14414
Санкт-Петербург,Отдел полиции № 66 Красногвардейского района г. Санкт-Петербурга,24.02.2022,476,1,Отдел полиции № 66 Красногвардейского района г. Санкт-Петербурга,59.97714,30.42703
Санкт-Петербург,Отдел полиции № 64 Кировского района г. Санкт-Петербурга,24.02.2022,476,13,Отдел полиции № 64 Кировского района г. Санкт-Петербурга,59.85666,30.22979
Санкт-Петербург,Отдел полиции № 13 Красногвардейского района г. Санкт-Петербурга,24.02.2022,476,11,Отдел полиции № 13 Красногвардейского района г. Санкт-Петербурга,59.94142,30.48794
Санкт-Петербург,Отдел полиции № 16 Василеостровского района г. Санкт-Петербурга,24.02.2022,476,34,Отдел полиции № 16 Василеостровского района г. Санкт-Петербурга,59.93303,30.27224
Санкт-Петербург,Отдел полиции № 31 Кировского района г. Санкт-Петербурга,24.02.2022,476,16,Отдел полиции № 31 Кировского района г. Санкт-Петербурга,59.88848,30.26436
Санкт-Петербург,Отдел полиции № 14 Фрунзенского района г. Санкт-Петербурга,24.02.2022,476,14,Отдел полиции № 14 Фрунзенского района г. Санкт-Петербурга,59.83935,30.38671
Санкт-Петербург,Отдел МВД по Колпинскому району г. Санкт-Петербурга,24.02.2022,476,4,Отдел МВД по Колпинскому району г. Санкт-Петербурга,59.73548,30.58887
Санкт-Петербург,Отдел полиции № 17 Калининского района г. Санкт-Петербурга,24.02.2022,476,34,Отдел полиции № 17 Калининского района г. Санкт-Петербурга,60.04608,30.38849
Санкт-Петербург,Отдел полиции № 2 Адмиралтейского района г. Санкт-Петербурга,24.02.2022,476,1,Отдел полиции № 2 Адмиралтейского района г. Санкт-Петербурга,59.92219,30.30659
Санкт-Петербург,Отдел полиции № 82 Красносельского района г. Санкт-Петербурга,24.02.2022,476,1,Отдел полиции № 82 Красносельского района г. Санкт-Петербурга,59.85347,30.2176
Санкт-Петербург,Отдел полиции № 78 Центрального района г. Санкт-Петербурга,24.02.2022,476,3,Отдел полиции № 78 Центрального района г. Санкт-Петербурга,59.93819,30.35307
Санкт-Петербург,Отдел полиции № 59 Выборгского района г. Санкт-Петербурга,24.02.2022,476,37,Отдел полиции № 59 Выборгского района г. Санкт-Петербурга,60.0531,30.344
Санкт-Петербург,Отдел полиции № 74 Красносельского района г. Санкт-Петербурга,24.02.2022,476,37,Отдел полиции № 74 Красносельского района г. Санкт-Петербурга,59.86502,30.18016
Санкт-Петербург,Отдел полиции № 12 Фрунзенского района г. Санкт-Петербурга,24.02.2022,476,1,Отдел полиции № 12 Фрунзенского района г. Санкт-Петербурга,59.86426,30.39881
Санкт-Петербург,Отдел полиции № 25 Приморского района г. Санкт-Петербурга,24.02.2022,476,17,Отдел полиции № 25 Приморского района г. Санкт-Петербурга,59.99029,30.20835
Санкт-Петербург,Отдел полиции № 18 Петроградского района г. Санкт-Петербурга,24.02.2022,476,20,Отдел полиции № 18 Петроградского района г. Санкт-Петербурга,59.9629,30.29327
Санкт-Петербург,Отдел полиции № 86 Приморского района г. Санкт-Петербурга,24.02.2022,476,5,Отдел полиции № 86 Приморского района г. Санкт-Петербурга,60.01035,30.2651
Санкт-Петербург,"Задержаны, но пока неизвестно, в каких отделах находятся: 18",24.02.2022,476,18,NA,NA,NA
Краснодар,ОВД Западного округа г. Краснодара,24.02.2022,61,30,ОВД Западного округа г. Краснодара,45.05317,38.98323
Краснодар,Отдел полиции (Центральный округ) УМВД по городу Краснодару,24.02.2022,61,17,"Отдел полиции (Центральный округ) УМВД по городу Краснодару, Краснодар",45.02027,38.96859
Краснодар,"Задержаны, но пока неизвестно, в каких отделах находятся: 21",24.02.2022,61,21,NA,NA,NA
Екатеринбург,Отдел полиции № 9 УМВД по городу Екатеринбургу,24.02.2022,41,6,"Отдел полиции № 9 УМВД по городу Екатеринбургу, Екатеринбург",56.81432,60.5832
Екатеринбург,Отдел полиции № 11 УМВД по городу Екатеринбургу,24.02.2022,41,28,"Отдел полиции № 11 УМВД по городу Екатеринбургу, Екатеринбург",56.81432,60.5832
Екатеринбург,Отдел полиции № 7 УМВД по городу Екатеринбургу,24.02.2022,41,2,"Отдел полиции № 7 УМВД по городу Екатеринбургу, Екатеринбург",56.81432,60.5832
Екатеринбург,"Задержаны, но пока неизвестно, в каких отделах находятся: 5",24.02.2022,41,5,NA,NA,NA
Саратов,Отдел полиции № 1 в составе УМВД по городу Саратову (Волжский район),24.02.2022,30,22,"Отдел полиции № 1 в составе УМВД по городу Саратову (Волжский район), Саратов",51.52664,46.03682
Саратов,Отдел полиции № 3 в составе УМВД по городу Саратову (Кировский район),24.02.2022,30,2,"Отдел полиции № 3 в составе УМВД по городу Саратову (Кировский район), Саратов",51.54118,45.99781
Саратов,Отдел полиции № 6 в составе УМВД по городу Саратову (Фрунзенский район),24.02.2022,30,2,"Отдел полиции № 6 в составе УМВД по городу Саратову (Фрунзенский район), Саратов",51.54118,45.99781
Саратов,"Задержаны, но пока неизвестно, в каких отделах находятся: 7",24.02.2022,30,7,NA,NA,NA
Нижний Новгород,Отдел полиции № 5 УМВД по Нижнему Новгороду,24.02.2022,29,15,"Отдел полиции № 5 УМВД по Нижнему Новгороду, Нижний Новгород",56.33012,43.99134
Нижний Новгород,Отдел полиции № 2 УМВД по Нижнему Новгороду,24.02.2022,29,10,"Отдел полиции № 2 УМВД по Нижнему Новгороду, Нижний Новгород",56.3227,43.95205
Нижний Новгород,Отдел полиции № 1 УМВД по Нижнему Новгороду,24.02.2022,29,1,"Отдел полиции № 1 УМВД по Нижнему Новгороду, Нижний Новгород",56.23374,43.85312
Нижний Новгород,Отдел полиции № 7 УМВД по Нижнему Новгороду,24.02.2022,29,2,"Отдел полиции № 7 УМВД по Нижнему Новгороду, Нижний Новгород",56.29392,44.0323
Нижний Новгород,"Задержаны, но пока неизвестно, в каких отделах находятся: 4",24.02.2022,29,4,NA,NA,NA
Воронеж,Отдел полиции № 6 УМВД по городу Воронежу (Центральный район),24.02.2022,22,17,"Отдел полиции № 6 УМВД по городу Воронежу (Центральный район), Воронеж",51.6737,39.20625
Воронеж,Отдел полиции № 8 УМВД России по городу Воронежу (Ленинский район),24.02.2022,22,3,"Отдел полиции № 8 УМВД России по городу Воронежу (Ленинский район), Воронеж",51.63583,39.23407
Воронеж,"Задержаны, но пока неизвестно, в каких отделах находятся: 9",24.02.2022,22,9,NA,NA,NA
Калининград,Отдел МВД России по Ленинградскому району города Калининграда,24.02.2022,21,5,"Отдел МВД России по Ленинградскому району города Калининграда, Калининград",54.71845,20.50632
Калининград,Отдел полиции № 3 УМВД по городу Калининграду,24.02.2022,21,10,"Отдел полиции № 3 УМВД по городу Калининграду, Калининград",55.76997,37.61325
Калининград,Отдел полиции № 2 УМВД по городу Калининграду,24.02.2022,21,6,"Отдел полиции № 2 УМВД по городу Калининграду, Калининград",55.76997,37.61325
Калининград,"Задержаны, но пока неизвестно, в каких отделах находятся: 9",24.02.2022,21,9,NA,NA,NA
Казань,Отдел полиции № 16 «Япеева» УМВД по г. Казани,24.02.2022,18,9,Отдел полиции № 16 «Япеева» УМВД по г. Казани,55.79825,49.11597
Казань,Отдел полиции № 2 «Вишневский» УМВД по г. Казани,24.02.2022,18,7,Отдел полиции № 2 «Вишневский» УМВД по г. Казани,55.7821,49.15589
Казань,"Задержаны, но пока неизвестно, в каких отделах находятся: 2",24.02.2022,18,2,NA,NA,NA
Волгоград,Отдел полиции № 4 УМВД по г. Волгограду,24.02.2022,13,7,Отдел полиции № 4 УМВД по г. Волгограду,48.71067,44.49359
Волгоград,"Задержаны, но пока неизвестно, в каких отделах находятся: 8",24.02.2022,13,8,NA,NA,NA
Тюмень,Отдел полиции № 4 УМВД по г. Тюмени,24.02.2022,12,10,Отдел полиции № 4 УМВД по г. Тюмени,57.14975,65.56628
Тюмень,"Задержаны, но пока неизвестно, в каких отделах находятся: 5",24.02.2022,12,5,NA,NA,NA
Уфа,Отдел полиции № 6 (Октябрьский район),24.02.2022,12,1,"Отдел полиции № 6 (Октябрьский район), Уфа",54.75124,56.0281
Уфа,Отдел полиции № 9 (Кировский район),24.02.2022,12,10,"Отдел полиции № 9 (Кировский район), Уфа",54.72396,55.9341
Уфа,Отдел полиции № 3 (Кировский район),24.02.2022,12,1,"Отдел полиции № 3 (Кировский район), Уфа",54.70725,55.97587
Иваново,Отдел полиции № 1 «Ленинский»,24.02.2022,10,5,"Отдел полиции № 1 «Ленинский», Иваново",55.91326,37.76768
Иваново,Отдел полиции № 2 «Октябрьский,24.02.2022,10,9,"Отдел полиции № 2 «Октябрьский, Иваново",56.99455,40.99617
Пермь,Отдел полиции № 7 (дисл. Свердловский р-н) УМВД по г. Перми,24.02.2022,9,8,Отдел полиции № 7 (дисл. Свердловский р-н) УМВД по г. Перми,57.99903,56.24249
Пермь,Отдел полиции № 1 УМВД по городу Пензе,24.02.2022,9,1,"Отдел полиции № 1 УМВД по городу Пензе, Пермь",53.20287,45.02012
Пермь,"Задержаны, но пока неизвестно, в каких отделах находятся: 1",24.02.2022,9,1,NA,NA,NA
Новосибирск,Отдел полиции № 1 «Центральный»,24.02.2022,9,6,"Отдел полиции № 1 «Центральный», Новосибирск",55.04404,82.92045
Новосибирск,Отдел полиции № 10 «Советский»,24.02.2022,9,1,"Отдел полиции № 10 «Советский», Новосибирск",54.85858,83.09814
Новосибирск,Отдел полиции № 6 «Октябрьский»,24.02.2022,9,2,"Отдел полиции № 6 «Октябрьский», Новосибирск",55.00933,82.95998
Новосибирск,"Задержаны, но пока неизвестно, в каких отделах находятся: 1",24.02.2022,9,1,NA,NA,NA
Оренбург,Отдел полиции № 1 МУ МВД «Оренбургское»,24.02.2022,9,10,"Отдел полиции № 1 МУ МВД «Оренбургское», Оренбург",51.8318,55.13799
Киров,Управление МВД России по г. Кирову,24.02.2022,8,6,Управление МВД России по г. Кирову,58.57633,49.62214
Киров,"Задержаны, но пока неизвестно, в каких отделах находятся: 4",24.02.2022,8,4,NA,NA,NA
Ростов-на-Дону,Отдел полиции № 6 УМВД по городу Ростову-на-Дону,24.02.2022,8,1,"Отдел полиции № 6 УМВД по городу Ростову-на-Дону, Ростов-на-Дону",47.25741,39.76999
Ростов-на-Дону,Отдел полиции № 3 УМВД по городу Ростову-на-Дону,24.02.2022,8,8,"Отдел полиции № 3 УМВД по городу Ростову-на-Дону, Ростов-на-Дону",47.22495,39.71789
Иркутск,Отдел полиции № 5 УМВД по г. Иркутску,24.02.2022,7,5,Отдел полиции № 5 УМВД по г. Иркутску,52.29083,104.294
Иркутск,"Задержаны, но пока неизвестно, в каких отделах находятся: 2",24.02.2022,7,2,NA,NA,NA
Псков,Отдел полиции № 1 УМВД по городу Пскову,24.02.2022,7,5,"Отдел полиции № 1 УМВД по городу Пскову, Псков",57.82219,28.36455
Псков,"Задержаны, но пока неизвестно, в каких отделах находятся: 2",24.02.2022,7,2,NA,NA,NA
Колпино,Отдел полиции № 55 Колпинского района г. Санкт-Петербурга,24.02.2022,6,6,Отдел полиции № 55 Колпинского района г. Санкт-Петербурга,59.73548,30.58887
Колпино,Отдел полиции № 55 Колпинского района г. Санкт-Петербурга,24.02.2022,6,6,Отдел полиции № 55 Колпинского района г. Санкт-Петербурга,59.73548,30.58887
Великий Новгород,Управление МВД России по городу Великий Новгород,24.02.2022,5,4,"Управление МВД России по городу Великий Новгород, Великий Новгород",58.54443,31.30573
Великий Новгород,"Задержаны, но пока неизвестно, в каких отделах находятся: 2",24.02.2022,5,2,NA,NA,NA
Сыктывкар,УМВД России по городу Сыктывкару,24.02.2022,5,2,"УМВД России по городу Сыктывкару, Сыктывкар",61.67454,50.82505
Сыктывкар,"Задержаны, но пока неизвестно, в каких отделах находятся: 3",24.02.2022,5,3,NA,NA,NA
Вологда,Отдел полиции № 1 УМВД по г. Вологде,24.02.2022,4,2,Отдел полиции № 1 УМВД по г. Вологде,59.20854,39.88498
Вологда,"Задержаны, но пока неизвестно, в каких отделах находятся: 2",24.02.2022,4,2,NA,NA,NA
Мурманск,Отдел полиции № 1 УМВД по городу Мурманску,24.02.2022,4,4,"Отдел полиции № 1 УМВД по городу Мурманску, Мурманск",68.96289,33.0691
Рязань,Отдел полиции № 3 (по Железнодорожному району города Рязани),24.02.2022,4,4,"Отдел полиции № 3 (по Железнодорожному району города Рязани), Рязань",54.62627,39.71609
Рязань,"Задержаны, но пока неизвестно, в каких отделах находятся: 1",24.02.2022,4,1,NA,NA,NA
Красноярск,Отдел полиции № 1 МУ МВД «Красноярское»,24.02.2022,4,4,"Отдел полиции № 1 МУ МВД «Красноярское», Красноярск",55.76997,37.61325
Томск,Отдел полиции № 3 (по обслуживанию внутригородской территории Советский район) УМВД по городу Томску,24.02.2022,3,2,"Отдел полиции № 3 (по обслуживанию внутригородской территории Советский район) УМВД по городу Томску, Томск",55.55446,37.71011
Владимир,"Задержаны, но пока неизвестно, в каких отделах находятся: 4",24.02.2022,3,4,NA,NA,NA
Пенза,Отдел полиции № 1 УМВД по городу Пензе,24.02.2022,3,2,"Отдел полиции № 1 УМВД по городу Пензе, Пенза",53.19959,45.00121
Пенза,"Задержаны, но пока неизвестно, в каких отделах находятся: 1",24.02.2022,3,1,NA,NA,NA
Выборг,Управление МВД России по Выборгскому району,24.02.2022,3,3,"Управление МВД России по Выборгскому району, Выборг",61.11519,28.85195
Брянск,Отдел полиции № 1 (Бежицкий район г. Брянска),24.02.2022,3,1,Отдел полиции № 1 (Бежицкий район г. Брянска),53.30853,34.3153
Брянск,УМВД России по г. Брянску,24.02.2022,3,3,УМВД России по г. Брянску,53.26081,34.34316
Челябинск,Отдел полиции № 1 (Ленинский район) УМВД по городу Челябинску,24.02.2022,3,1,"Отдел полиции № 1 (Ленинский район) УМВД по городу Челябинску, Челябинск",55.19416,61.34033
Челябинск,Отдел полиции № 5 (Центральный район) УМВД по городу Челябинску,24.02.2022,3,1,"Отдел полиции № 5 (Центральный район) УМВД по городу Челябинску, Челябинск",55.19416,61.34033
Челябинск,"Задержаны, но пока неизвестно, в каких отделах находятся: 1",24.02.2022,3,1,NA,NA,NA
