city,district,date,city_detainees,district_detainees,district_en,location,lat,lon,city_lon,city_lat,city_en
Москва,ОМВД России по району Нагатино-Садовники г. Москвы,2022-02-24,1082,22,OMVD of Russia in the area of ​​Nagatino-gardeners in Moscow,ОМВД России по району Нагатино-Садовники г. Москвы,55.65759,37.64008,37.6173,55.75583,Moscow
Москва,Отдел МВД России по району Измайлово г. Москвы,2022-02-24,1082,4,Department of the Ministry of Internal Affairs of Russia in the area of ​​Izmailovo Moscow,Отдел МВД России по району Измайлово г. Москвы,55.79829,37.79737,37.6173,55.75583,Moscow
Москва,ОМВД Бибирево,2022-02-24,1082,15,OMVD Bibirevo,"ОМВД Бибирево, Москва",55.8945,37.60167,37.6173,55.75583,Moscow
Москва,Отдел МВД России по району Южное Тушино г. Москвы,2022-02-24,1082,26,Department of the Ministry of Internal Affairs of Russia in the South Tushino district of Moscow,Отдел МВД России по району Южное Тушино г. Москвы,55.83939,37.4362,37.6173,55.75583,Moscow
Москва,ОМВД России по району Крюково г. Москвы,2022-02-24,1082,14,OMVD of Russia in the district of Kryukovo Moscow,ОМВД России по району Крюково г. Москвы,55.9776,37.15114,37.6173,55.75583,Moscow
Москва,Отдел МВД России по району Капотня,2022-02-24,1082,23,Department of the Ministry of Internal Affairs of Russia in the area of ​​the Kapotnya,"Отдел МВД России по району Капотня, Москва",55.63711,37.80428,37.6173,55.75583,Moscow
Москва,ОМВД России по району Сокольники г. Москвы,2022-02-24,1082,18,OMVD of Russia in the area of ​​Sokolniki in Moscow,ОМВД России по району Сокольники г. Москвы,55.78633,37.67562,37.6173,55.75583,Moscow
Москва,Отдел МВД России по району Ново-Переделкино г. Москвы,2022-02-24,1082,15,Department of the Ministry of Internal Affairs of Russia in the New-Peredelkino district of Moscow,Отдел МВД России по району Ново-Переделкино г. Москвы,55.63603,37.35475,37.6173,55.75583,Moscow
Москва,ОМВД России по району Хамовники г. Москвы,2022-02-24,1082,8,OMVD of Russia in the area of ​​Khamovnikov Moscow,ОМВД России по району Хамовники г. Москвы,55.72544,37.56238,37.6173,55.75583,Moscow
Москва,ОМВД России по району Тверской г. Москвы,2022-02-24,1082,14,OMVD of Russia in the district of Tver Moscow,ОМВД России по району Тверской г. Москвы,55.76997,37.61325,37.6173,55.75583,Moscow
Москва,Участковый пункт полиции № 4 по Академческому району,2022-02-24,1082,4,Police district station number 4 on Academic District,"Участковый пункт полиции № 4 по Академческому району, Москва",55.68946,37.57638,37.6173,55.75583,Moscow
Москва,ОМВД Медведково Северное,2022-02-24,1082,24,OMVD Medvedkovo North,"ОМВД Медведково Северное, Москва",55.88947,37.65488,37.6173,55.75583,Moscow
Москва,Отдел МВД России по району Лефортово,2022-02-24,1082,10,Department of the Ministry of Internal Affairs of Russia for Lefortovo district,"Отдел МВД России по району Лефортово, Москва",55.75797,37.68042,37.6173,55.75583,Moscow
Москва,Отдел МВД России по району Ивановское г. Москвы,2022-02-24,1082,24,Department of the Ministry of Internal Affairs of Russia in the district of Ivanovo Moscow,Отдел МВД России по району Ивановское г. Москвы,55.76183,37.83056,37.6173,55.75583,Moscow
Москва,ОМВД России по Пресненскому району г. Москвы,2022-02-24,1082,4,OMVD of Russia in the Presnensky district of Moscow,ОМВД России по Пресненскому району г. Москвы,55.76062,37.5423,37.6173,55.75583,Moscow
Москва,Отдел МВД России по району Строгино г. Москвы,2022-02-24,1082,10,Department of the Ministry of Internal Affairs of Russia for the district Strogino city of Moscow,Отдел МВД России по району Строгино г. Москвы,55.7949,37.39461,37.6173,55.75583,Moscow
Москва,ОМВД России по району Аэропорт,2022-02-24,1082,22,OMVD of Russia for the airport area,"ОМВД России по району Аэропорт, Москва",55.80541,37.53761,37.6173,55.75583,Moscow
Москва,Отдел МВД России по району Новогиреево г. Москвы,2022-02-24,1082,21,Department of the Ministry of Internal Affairs of Russia in Novogireevo district of Moscow,Отдел МВД России по району Новогиреево г. Москвы,55.74848,37.80502,37.6173,55.75583,Moscow
Москва,Отдел МВД России по району Басманный г. Москвы,2022-02-24,1082,19,Department of the Ministry of Internal Affairs of Russia in the district Basmannaya Moscow,Отдел МВД России по району Басманный г. Москвы,55.76985,37.66676,37.6173,55.75583,Moscow
Москва,Отдел МВД России по району Хорошево-Мневники г. Москвы,2022-02-24,1082,27,Department of the Ministry of Internal Affairs of Russia in the district of Khoroshevo-Mesvniki Moscow,Отдел МВД России по району Хорошево-Мневники г. Москвы,55.79041,37.4642,37.6173,55.75583,Moscow
Москва,ОМВД Отрадное,2022-02-24,1082,13,OMVD Otradnoe,"ОМВД Отрадное, Москва",55.85799,37.61839,37.6173,55.75583,Moscow
Москва,ОМВД России по району Бутово Южное г. Москвы,2022-02-24,1082,18,OMVD of Russia in the district of Butovo South Moscow,ОМВД России по району Бутово Южное г. Москвы,55.54416,37.54387,37.6173,55.75583,Moscow
Москва,Отдел МВД России по району Покровское-Стрешнево г. Москвы,2022-02-24,1082,25,Department of the Ministry of Internal Affairs of Russia in the district of Pokrovskoe-Streshnevo Moscow,Отдел МВД России по району Покровское-Стрешнево г. Москвы,55.81755,37.44862,37.6173,55.75583,Moscow
Москва,ОМВД России по району Дегунино Восточное г. Москвы,2022-02-24,1082,11,OMVD of Russia in the area of ​​Degunino Eastern Moscow,ОМВД России по району Дегунино Восточное г. Москвы,55.87035,37.56161,37.6173,55.75583,Moscow
Москва,Отдел полиции № 1 МУ МВД «Орехово-Зуевское»,2022-02-24,1082,1,"Police Department No. 1 MU MVD ""Orekhovo-Zuevskoye""","Отдел полиции № 1 МУ МВД «Орехово-Зуевское», Москва",55.75626,37.60921,37.6173,55.75583,Moscow
Москва,ОМВД Бутырский,2022-02-24,1082,16,OMVD Butyrsky,"ОМВД Бутырский, Москва",55.8112,37.58936,37.6173,55.75583,Moscow
Москва,Отдел МВД России по району Северное Тушино г. Москвы,2022-02-24,1082,22,Department of the Ministry of Internal Affairs of Russia in the area of ​​the North Tushino of Moscow,Отдел МВД России по району Северное Тушино г. Москвы,55.86016,37.43437,37.6173,55.75583,Moscow
Москва,ОМВД Лосиноостровский,2022-02-24,1082,24,OmVD Losinoostrovsky,"ОМВД Лосиноостровский, Москва",55.87377,37.68795,37.6173,55.75583,Moscow
Москва,Отдел МВД России по району Арбат г. Москвы,2022-02-24,1082,2,Department of the Ministry of Internal Affairs of Russia in the Arbat district of Moscow,Отдел МВД России по району Арбат г. Москвы,55.74781,37.58908,37.6173,55.75583,Moscow
Москва,Отдел МВД России по району Кузьминки,2022-02-24,1082,20,Department of the Ministry of Internal Affairs of Russia in the area of ​​Kuzminki,"Отдел МВД России по району Кузьминки, Москва",55.69747,37.78293,37.6173,55.75583,Moscow
Москва,ОМВД России по району Преображенское г. Москвы,2022-02-24,1082,16,OMVD of Russia for the district of Transfiguration Moscow,ОМВД России по району Преображенское г. Москвы,55.7906,37.71015,37.6173,55.75583,Moscow
Москва,ОМВД России по районам Матушкино и Савелки г. Москвы,2022-02-24,1082,16,OMVD of Russia in the districts of Matushkino and Savelki Moscow,ОМВД России по районам Матушкино и Савелки г. Москвы,56.01058,37.19716,37.6173,55.75583,Moscow
Москва,ОМВД Ярославский,2022-02-24,1082,21,OMVD Yaroslavsky,"ОМВД Ярославский, Москва",55.86023,37.68909,37.6173,55.75583,Moscow
Москва,Отдел МВД России по району Измайлово Северное г. Москвы,2022-02-24,1082,18,Department of the Ministry of Internal Affairs of Russia in the area of ​​Izmailovo North Moscow,Отдел МВД России по району Измайлово Северное г. Москвы,55.80705,37.78877,37.6173,55.75583,Moscow
Москва,ОМВД России по Головинскому району,2022-02-24,1082,29,OMVD of Russia at the Golovinsky district,"ОМВД России по Головинскому району, Москва",55.85064,37.49928,37.6173,55.75583,Moscow
Москва,Отдел МВД России по району Щукино г. Москвы,2022-02-24,1082,13,Department of the Ministry of Internal Affairs of Russia in the district of Schukino Moscow,Отдел МВД России по району Щукино г. Москвы,55.81043,37.45483,37.6173,55.75583,Moscow
Москва,Лужники (отдел полиции по охране с/к),2022-02-24,1082,6,Luzhniki (Police Department with / K),"Лужники (отдел полиции по охране с/к), Москва",55.71947,37.55639,37.6173,55.75583,Moscow
Москва,ОМВД России по району Перово г. Москвы,2022-02-24,1082,24,OMVD of Russia in the district of Perovo Moscow,ОМВД России по району Перово г. Москвы,55.76334,37.78748,37.6173,55.75583,Moscow
Москва,Отдел МВД России по району Выхино-Жулебино г. Москвы,2022-02-24,1082,12,Department of the Ministry of Internal Affairs of Russia in the district of Vykhino-Zhulebino Moscow,Отдел МВД России по району Выхино-Жулебино г. Москвы,55.70563,37.80769,37.6173,55.75583,Moscow
Москва,ОМВД России по району Бирюлёво Восточное г. Москвы,2022-02-24,1082,24,OMVD of Russia in the district of Biryulyo East Moscow,ОМВД России по району Бирюлёво Восточное г. Москвы,55.58268,37.69065,37.6173,55.75583,Moscow
Москва,ОМВД России по району Коптево г. Москвы,2022-02-24,1082,7,OMVD of Russia in the Koptevo district of Moscow,ОМВД России по району Коптево г. Москвы,55.83427,37.52394,37.6173,55.75583,Moscow
Москва,ОМВД России по району Бескудниково,2022-02-24,1082,28,OMVD of Russia in the area of ​​Bescordnikovo,"ОМВД России по району Бескудниково, Москва",55.87035,37.56161,37.6173,55.75583,Moscow
Москва,МО МВД России «Щербинский» г. Москвы,2022-02-24,1082,2,"MO Ministry of Internal Affairs of Russia ""Shcherbinsky"" of Moscow",МО МВД России «Щербинский» г. Москвы,55.50029,37.54198,37.6173,55.75583,Moscow
Москва,ОМВД России по району Академический г. Москвы,2022-02-24,1082,7,OMVD of Russia in the area of ​​the academic Moscow,ОМВД России по району Академический г. Москвы,55.68163,37.58746,37.6173,55.75583,Moscow
Москва,ОМВД России по району Орехово-Борисово Южное г. Москвы,2022-02-24,1082,18,OMVD of Russia in the area of ​​Orekhovo-Borisovo South Moscow,ОМВД России по району Орехово-Борисово Южное г. Москвы,55.59971,37.73879,37.6173,55.75583,Moscow
Москва,ОМВД России по району Ховрино г. Москвы,2022-02-24,1082,25,OMVD of Russia in the Khovrino district of Moscow,ОМВД России по району Ховрино г. Москвы,55.87033,37.48669,37.6173,55.75583,Moscow
Москва,ОМВД России по району Ясенево г. Москвы,2022-02-24,1082,2,OMVD of Russia in the district of Yasenevo Moscow,ОМВД России по району Ясенево г. Москвы,55.6096,37.51387,37.6173,55.75583,Moscow
Москва,ОМВД России по району Тропарево-Никулино г. Москва,2022-02-24,1082,1,OMVD of Russia in the District Troparevo-Nikulino Moscow,ОМВД России по району Тропарево-Никулино г. Москва,55.67482,37.49531,37.6173,55.75583,Moscow
Москва,ОМВД Останкинский,2022-02-24,1082,1,OMVD Ostankinsky,"ОМВД Останкинский, Москва",55.81298,37.63553,37.6173,55.75583,Moscow
Москва,ОМВД России по району Солнцево г. Москвы,2022-02-24,1082,24,OMVD of Russia in the area of ​​Solntsevo in Moscow,ОМВД России по району Солнцево г. Москвы,55.64386,37.40979,37.6173,55.75583,Moscow
Москва,ОМВД России по району Тимирязевский г. Москвы,2022-02-24,1082,1,OMVD of Russia in the Timiryazevsky district of Moscow,ОМВД России по району Тимирязевский г. Москвы,55.8112,37.58936,37.6173,55.75583,Moscow
Москва,Отдел МВД России по району Некрасовка,2022-02-24,1082,2,Department of the Ministry of Internal Affairs of Russia in the area necrasovka,"Отдел МВД России по району Некрасовка, Москва",55.70751,37.93009,37.6173,55.75583,Moscow
Москва,Отдел МВД России по району Крылатское г. Москвы,2022-02-24,1082,34,Department of the Ministry of Internal Affairs of Russia in the area of ​​Krylatskoe Moscow,Отдел МВД России по району Крылатское г. Москвы,55.76386,37.4044,37.6173,55.75583,Moscow
Москва,ОМВД России по району Теплый Стан г. Москвы,2022-02-24,1082,7,OMVD of Russia in the area of ​​the warm standard of Moscow,ОМВД России по району Теплый Стан г. Москвы,55.6096,37.51387,37.6173,55.75583,Moscow
Москва,Отдел МВД России по району Кунцево г. Москвы,2022-02-24,1082,1,Department of the Ministry of Internal Affairs of Russia in the Kuntsevo district of Moscow,Отдел МВД России по району Кунцево г. Москвы,55.72846,37.407470000000004,37.6173,55.75583,Moscow
Москва,ОМВД Марфино,2022-02-24,1082,1,OMVD Marfino,"ОМВД Марфино, Москва",55.8437,37.57382,37.6173,55.75583,Moscow
Москва,Отдел МВД России по району Текстильщики,2022-02-24,1082,12,Department of the Ministry of Internal Affairs of Russia in the area of ​​textiles,"Отдел МВД России по району Текстильщики, Москва",55.72594,37.71579,37.6173,55.75583,Moscow
Москва,"Задержаны, но пока неизвестно, в каких отделах находятся: 178",2022-02-24,1082,178,NA,NA,NA,NA,37.6173,55.75583,Moscow
Санкт-Петербург,Отдел полиции № 51 Московского района г. Санкт-Петербурга,2022-02-24,475,16,Police Department No. 51 Moscow District of St. Petersburg,Отдел полиции № 51 Московского района г. Санкт-Петербурга,59.84048,30.32983,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 75 Невского района г. Санкт-Петербурга,2022-02-24,475,13,Police Department No. 75 Nevsky District of St. Petersburg,Отдел полиции № 75 Невского района г. Санкт-Петербурга,59.89734,30.49593,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 8 Кировского района г. Санкт-Петербурга,2022-02-24,475,13,Police Department No. 8 Kirovsky District of St. Petersburg,Отдел полиции № 8 Кировского района г. Санкт-Петербурга,59.8414,30.22806,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 80 Колпинского района г. Санкт-Петербурга,2022-02-24,475,4,Police Department No. 80 of the Kolpinsky district of St. Petersburg,Отдел полиции № 80 Колпинского района г. Санкт-Петербурга,59.73741,30.61865,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 70 Невского района г. Санкт-Петербурга,2022-02-24,475,15,Police Department No. 70 Nevsky District of St. Petersburg,Отдел полиции № 70 Невского района г. Санкт-Петербурга,59.88335,30.45471,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 77 Адмиралтейского района г. Санкт-Петербурга,2022-02-24,475,9,Police Department No. 77 Admiralty District of St. Petersburg,Отдел полиции № 77 Адмиралтейского района г. Санкт-Петербурга,59.90985,30.28225,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 28 Центрального района г. Санкт-Петербурга,2022-02-24,475,5,Police Department No. 28 of the Central District of St. Petersburg,Отдел полиции № 28 Центрального района г. Санкт-Петербурга,59.92033,30.33995,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 1 Адмиралтейского района г. Санкт-Петербурга,2022-02-24,475,8,Police Department No. 1 Admiralty District of St. Petersburg,Отдел полиции № 1 Адмиралтейского района г. Санкт-Петербурга,59.93244,30.29893,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 26 по Красногвардейскому району г. Санкт-Петербурга,2022-02-24,475,7,Police Department No. 26 in the Krasnogvardeisky District of St. Petersburg,Отдел полиции № 26 по Красногвардейскому району г. Санкт-Петербурга,59.96174,30.48647,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 20 Выборгского район г. Санкт-Петербурга,2022-02-24,475,1,Police Department No. 20 Vyborgsky District of St. Petersburg,Отдел полиции № 20 Выборгского район г. Санкт-Петербурга,60.04146,30.36872,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 45 Невского района г. Санкт-Петербурга,2022-02-24,475,4,Police Department No. 45 Nevsky District of St. Petersburg,Отдел полиции № 45 Невского района г. Санкт-Петербурга,59.84235,30.49715,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 29 Московского района г. Санкт-Петербурга,2022-02-24,475,12,Police Department No. 29 Moscow District of St. Petersburg,Отдел полиции № 29 Московского района г. Санкт-Петербурга,59.86036,30.31186,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 76 Центрального района г. Санкт-Петербурга,2022-02-24,475,4,Police Department No. 76 of the Central District of St. Petersburg,Отдел полиции № 76 Центрального района г. Санкт-Петербурга,59.93111,30.37487,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 52 Красногвардейского района г. Санкт-Петербурга,2022-02-24,475,19,Police Department No. 52 of the Krasnogvardeisky District of St. Petersburg,Отдел полиции № 52 Красногвардейского района г. Санкт-Петербурга,59.93166,30.4194,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 32 Невского района г. Санкт-Петербурга,2022-02-24,475,28,Police Department No. 32 Nevsky District of St. Petersburg,Отдел полиции № 32 Невского района г. Санкт-Петербурга,59.8559,30.47253,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 33 Московского района г. Санкт-Петербурга,2022-02-24,475,16,Police Department No. 33 of the Moscow District of St. Petersburg,Отдел полиции № 33 Московского района г. Санкт-Петербурга,59.8597,30.3514,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 35 Приморского района г. Санкт-Петербурга,2022-02-24,475,18,Police Department No. 35 Primorsky District of St. Petersburg,Отдел полиции № 35 Приморского района г. Санкт-Петербурга,59.99489,30.28418,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 7 Фрунзенского района г. Санкт-Петербурга,2022-02-24,475,20,Police Department No. 7 Frunzensky District of St. Petersburg,Отдел полиции № 7 Фрунзенского района г. Санкт-Петербурга,59.82654,30.41108,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 43 Петроградского района г. Санкт-Петербурга,2022-02-24,475,1,Police Department No. 43 Petrogradsky District of St. Petersburg,Отдел полиции № 43 Петроградского района г. Санкт-Петербурга,59.96264,30.32564,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 42 Красносельского района г. Санкт-Петербурга,2022-02-24,475,2,Police Department No. 42 Krasnoselsky District of St. Petersburg,Отдел полиции № 42 Красносельского района г. Санкт-Петербурга,59.84434,30.14414,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 66 Красногвардейского района г. Санкт-Петербурга,2022-02-24,475,1,Police Department No. 66 of the Krasnogvardeisky district of St. Petersburg,Отдел полиции № 66 Красногвардейского района г. Санкт-Петербурга,59.97714,30.42703,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 64 Кировского района г. Санкт-Петербурга,2022-02-24,475,13,Police Department No. 64 Kirovsky District of St. Petersburg,Отдел полиции № 64 Кировского района г. Санкт-Петербурга,59.85666,30.22979,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 13 Красногвардейского района г. Санкт-Петербурга,2022-02-24,475,11,Police Department No. 13 of the Krasnogvardeisky District of St. Petersburg,Отдел полиции № 13 Красногвардейского района г. Санкт-Петербурга,59.94142,30.48794,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 16 Василеостровского района г. Санкт-Петербурга,2022-02-24,475,34,Police Department No. 16 Vasileostrovsky District of St. Petersburg,Отдел полиции № 16 Василеостровского района г. Санкт-Петербурга,59.93303,30.27224,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 31 Кировского района г. Санкт-Петербурга,2022-02-24,475,16,Police Department No. 31 Kirovsky District of St. Petersburg,Отдел полиции № 31 Кировского района г. Санкт-Петербурга,59.88848,30.26436,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 14 Фрунзенского района г. Санкт-Петербурга,2022-02-24,475,14,Police Department No. 14 Frunzensky District of St. Petersburg,Отдел полиции № 14 Фрунзенского района г. Санкт-Петербурга,59.83935,30.38671,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел МВД по Колпинскому району г. Санкт-Петербурга,2022-02-24,475,4,Department of the Ministry of Internal Affairs at the Kolpinsky district of St. Petersburg,Отдел МВД по Колпинскому району г. Санкт-Петербурга,59.73548,30.58887,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 17 Калининского района г. Санкт-Петербурга,2022-02-24,475,34,Police Department No. 17 Kalininsky District of St. Petersburg,Отдел полиции № 17 Калининского района г. Санкт-Петербурга,60.04608,30.38849,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 2 Адмиралтейского района г. Санкт-Петербурга,2022-02-24,475,1,Police Department No. 2 of the Admiralty District of St. Petersburg,Отдел полиции № 2 Адмиралтейского района г. Санкт-Петербурга,59.92219,30.30659,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 82 Красносельского района г. Санкт-Петербурга,2022-02-24,475,1,Police Department No. 82 Krasnoselsky District of St. Petersburg,Отдел полиции № 82 Красносельского района г. Санкт-Петербурга,59.85347,30.2176,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 78 Центрального района г. Санкт-Петербурга,2022-02-24,475,3,Police Department No. 78 of the Central District of St. Petersburg,Отдел полиции № 78 Центрального района г. Санкт-Петербурга,59.93819,30.35307,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 59 Выборгского района г. Санкт-Петербурга,2022-02-24,475,37,Police Department No. 59 Vyborg district of St. Petersburg,Отдел полиции № 59 Выборгского района г. Санкт-Петербурга,60.0531,30.344,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 74 Красносельского района г. Санкт-Петербурга,2022-02-24,475,37,Police Department No. 74 Krasnoselsky District of St. Petersburg,Отдел полиции № 74 Красносельского района г. Санкт-Петербурга,59.86502,30.18016,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 12 Фрунзенского района г. Санкт-Петербурга,2022-02-24,475,1,Police Department No. 12 of Frunzensky District of St. Petersburg,Отдел полиции № 12 Фрунзенского района г. Санкт-Петербурга,59.86426,30.39881,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 25 Приморского района г. Санкт-Петербурга,2022-02-24,475,17,Police Department No. 25 Primorsky District of St. Petersburg,Отдел полиции № 25 Приморского района г. Санкт-Петербурга,59.99029,30.20835,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 18 Петроградского района г. Санкт-Петербурга,2022-02-24,475,20,Police Department No. 18 Petrogradsky District of St. Petersburg,Отдел полиции № 18 Петроградского района г. Санкт-Петербурга,59.9629,30.29327,30.36091,59.93106,St. Petersburg
Санкт-Петербург,Отдел полиции № 86 Приморского района г. Санкт-Петербурга,2022-02-24,475,4,Police Department No. 86 Primorsky District of St. Petersburg,Отдел полиции № 86 Приморского района г. Санкт-Петербурга,60.01035,30.2651,30.36091,59.93106,St. Petersburg
Санкт-Петербург,"Задержаны, но пока неизвестно, в каких отделах находятся: 20",2022-02-24,475,20,NA,NA,NA,NA,30.36091,59.93106,St. Petersburg
Краснодар,ОВД Западного округа г. Краснодара,2022-02-24,61,30,OVD Western District of Krasnodar,ОВД Западного округа г. Краснодара,45.05317,38.98323,38.97457,45.03604,Krasnodar
Краснодар,Отдел полиции (Центральный округ) УМВД по городу Краснодару,2022-02-24,61,17,Police Department (Central District) Ministry of Internal Affairs in the city of Krasnodar,"Отдел полиции (Центральный округ) УМВД по городу Краснодару, Краснодар",45.02027,38.96859,38.97457,45.03604,Krasnodar
Краснодар,"Задержаны, но пока неизвестно, в каких отделах находятся: 21",2022-02-24,61,21,NA,NA,NA,NA,38.97457,45.03604,Krasnodar
Екатеринбург,Отдел полиции № 9 УМВД по городу Екатеринбургу,2022-02-24,41,6,Department of Police No. 9 UMVD in the city of Yekaterinburg,"Отдел полиции № 9 УМВД по городу Екатеринбургу, Екатеринбург",56.81432,60.5832,60.64541,56.8431,Yekaterinburg
Екатеринбург,Отдел полиции № 11 УМВД по городу Екатеринбургу,2022-02-24,41,28,Police Department No. 11 UMVD in the city of Yekaterinburg,"Отдел полиции № 11 УМВД по городу Екатеринбургу, Екатеринбург",56.81432,60.5832,60.64541,56.8431,Yekaterinburg
Екатеринбург,Отдел полиции № 7 УМВД по городу Екатеринбургу,2022-02-24,41,2,Department of Police No. 7 Ministry of Internal Affairs in Ekaterinburg,"Отдел полиции № 7 УМВД по городу Екатеринбургу, Екатеринбург",56.81432,60.5832,60.64541,56.8431,Yekaterinburg
Екатеринбург,"Задержаны, но пока неизвестно, в каких отделах находятся: 5",2022-02-24,41,5,NA,NA,NA,NA,60.64541,56.8431,Yekaterinburg
