city,district,district_en,location,lat,lon
Москва,ОМВД России по району Тимирязевский г. Москвы,OMVD of Russia in the Timiryazevsky district of Moscow,ОМВД России по району Тимирязевский г. Москвы,55.8112,37.58936
Москва,Отдел МВД России по району Некрасовка,Department of the Ministry of Internal Affairs of Russia in the area necrasovka,"Отдел МВД России по району Некрасовка, Москва",55.70751,37.93009
Москва,Отдел МВД России по району Крылатское г. Москвы,Department of the Ministry of Internal Affairs of Russia in the area of ​​Krylatskoe Moscow,Отдел МВД России по району Крылатское г. Москвы,55.76386,37.4044
Москва,ОМВД России по району Теплый Стан г. Москвы,OMVD of Russia in the area of ​​the warm standard of Moscow,ОМВД России по району Теплый Стан г. Москвы,55.6096,37.51387
Москва,Отдел МВД России по району Кунцево г. Москвы,Department of the Ministry of Internal Affairs of Russia in the Kuntsevo district of Moscow,Отдел МВД России по району Кунцево г. Москвы,55.72846,37.407470000000004
Москва,ОМВД Марфино,OMVD Marfino,"ОМВД Марфино, Москва",55.8437,37.57382
Москва,Отдел МВД России по району Текстильщики,Department of the Ministry of Internal Affairs of Russia in the area of ​​textiles,"Отдел МВД России по району Текстильщики, Москва",55.72594,37.71579
Санкт-Петербург,Отдел полиции № 51 Московского района г. Санкт-Петербурга,Police Department No. 51 Moscow District of St. Petersburg,Отдел полиции № 51 Московского района г. Санкт-Петербурга,59.84048,30.32983
Санкт-Петербург,Отдел полиции № 75 Невского района г. Санкт-Петербурга,Police Department No. 75 Nevsky District of St. Petersburg,Отдел полиции № 75 Невского района г. Санкт-Петербурга,59.89734,30.49593
Санкт-Петербург,Отдел полиции № 8 Кировского района г. Санкт-Петербурга,Police Department No. 8 Kirovsky District of St. Petersburg,Отдел полиции № 8 Кировского района г. Санкт-Петербурга,59.8414,30.22806
Санкт-Петербург,Отдел полиции № 80 Колпинского района г. Санкт-Петербурга,Police Department No. 80 of the Kolpinsky district of St. Petersburg,Отдел полиции № 80 Колпинского района г. Санкт-Петербурга,59.73741,30.61865
Санкт-Петербург,Отдел полиции № 70 Невского района г. Санкт-Петербурга,Police Department No. 70 Nevsky District of St. Petersburg,Отдел полиции № 70 Невского района г. Санкт-Петербурга,59.88335,30.45471
Санкт-Петербург,Отдел полиции № 77 Адмиралтейского района г. Санкт-Петербурга,Police Department No. 77 Admiralty District of St. Petersburg,Отдел полиции № 77 Адмиралтейского района г. Санкт-Петербурга,59.90985,30.28225
Санкт-Петербург,Отдел полиции № 28 Центрального района г. Санкт-Петербурга,Police Department No. 28 of the Central District of St. Petersburg,Отдел полиции № 28 Центрального района г. Санкт-Петербурга,59.92033,30.33995
Санкт-Петербург,Отдел полиции № 1 Адмиралтейского района г. Санкт-Петербурга,Police Department No. 1 Admiralty District of St. Petersburg,Отдел полиции № 1 Адмиралтейского района г. Санкт-Петербурга,59.93244,30.29893
Санкт-Петербург,Отдел полиции № 26 по Красногвардейскому району г. Санкт-Петербурга,Police Department No. 26 in the Krasnogvardeisky District of St. Petersburg,Отдел полиции № 26 по Красногвардейскому району г. Санкт-Петербурга,59.96174,30.48647
Санкт-Петербург,Отдел полиции № 20 Выборгского район г. Санкт-Петербурга,Police Department No. 20 Vyborgsky District of St. Petersburg,Отдел полиции № 20 Выборгского район г. Санкт-Петербурга,60.04146,30.36872
Санкт-Петербург,Отдел полиции № 45 Невского района г. Санкт-Петербурга,Police Department No. 45 Nevsky District of St. Petersburg,Отдел полиции № 45 Невского района г. Санкт-Петербурга,59.84235,30.49715
Санкт-Петербург,Отдел полиции № 29 Московского района г. Санкт-Петербурга,Police Department No. 29 Moscow District of St. Petersburg,Отдел полиции № 29 Московского района г. Санкт-Петербурга,59.86036,30.31186
Санкт-Петербург,Отдел полиции № 76 Центрального района г. Санкт-Петербурга,Police Department No. 76 of the Central District of St. Petersburg,Отдел полиции № 76 Центрального района г. Санкт-Петербурга,59.93111,30.37487
Санкт-Петербург,Отдел полиции № 52 Красногвардейского района г. Санкт-Петербурга,Police Department No. 52 of the Krasnogvardeisky District of St. Petersburg,Отдел полиции № 52 Красногвардейского района г. Санкт-Петербурга,59.93166,30.4194
Санкт-Петербург,Отдел полиции № 32 Невского района г. Санкт-Петербурга,Police Department No. 32 Nevsky District of St. Petersburg,Отдел полиции № 32 Невского района г. Санкт-Петербурга,59.8559,30.47253
Санкт-Петербург,Отдел полиции № 33 Московского района г. Санкт-Петербурга,Police Department No. 33 of the Moscow District of St. Petersburg,Отдел полиции № 33 Московского района г. Санкт-Петербурга,59.8597,30.3514
Санкт-Петербург,Отдел полиции № 35 Приморского района г. Санкт-Петербурга,Police Department No. 35 Primorsky District of St. Petersburg,Отдел полиции № 35 Приморского района г. Санкт-Петербурга,59.99489,30.28418
Санкт-Петербург,Отдел полиции № 7 Фрунзенского района г. Санкт-Петербурга,Police Department No. 7 Frunzensky District of St. Petersburg,Отдел полиции № 7 Фрунзенского района г. Санкт-Петербурга,59.82654,30.41108
Санкт-Петербург,Отдел полиции № 43 Петроградского района г. Санкт-Петербурга,Police Department No. 43 Petrogradsky District of St. Petersburg,Отдел полиции № 43 Петроградского района г. Санкт-Петербурга,59.96264,30.32564
Санкт-Петербург,Отдел полиции № 42 Красносельского района г. Санкт-Петербурга,Police Department No. 42 Krasnoselsky District of St. Petersburg,Отдел полиции № 42 Красносельского района г. Санкт-Петербурга,59.84434,30.14414
Санкт-Петербург,Отдел полиции № 66 Красногвардейского района г. Санкт-Петербурга,Police Department No. 66 of the Krasnogvardeisky district of St. Petersburg,Отдел полиции № 66 Красногвардейского района г. Санкт-Петербурга,59.97714,30.42703
Санкт-Петербург,Отдел полиции № 64 Кировского района г. Санкт-Петербурга,Police Department No. 64 Kirovsky District of St. Petersburg,Отдел полиции № 64 Кировского района г. Санкт-Петербурга,59.85666,30.22979
Санкт-Петербург,Отдел полиции № 13 Красногвардейского района г. Санкт-Петербурга,Police Department No. 13 of the Krasnogvardeisky District of St. Petersburg,Отдел полиции № 13 Красногвардейского района г. Санкт-Петербурга,59.94142,30.48794
Санкт-Петербург,Отдел полиции № 16 Василеостровского района г. Санкт-Петербурга,Police Department No. 16 Vasileostrovsky District of St. Petersburg,Отдел полиции № 16 Василеостровского района г. Санкт-Петербурга,59.93303,30.27224
Санкт-Петербург,Отдел полиции № 31 Кировского района г. Санкт-Петербурга,Police Department No. 31 Kirovsky District of St. Petersburg,Отдел полиции № 31 Кировского района г. Санкт-Петербурга,59.88848,30.26436
Санкт-Петербург,Отдел полиции № 14 Фрунзенского района г. Санкт-Петербурга,Police Department No. 14 Frunzensky District of St. Petersburg,Отдел полиции № 14 Фрунзенского района г. Санкт-Петербурга,59.83935,30.38671
Санкт-Петербург,Отдел МВД по Колпинскому району г. Санкт-Петербурга,Department of the Ministry of Internal Affairs at the Kolpinsky district of St. Petersburg,Отдел МВД по Колпинскому району г. Санкт-Петербурга,59.73548,30.58887
Санкт-Петербург,Отдел полиции № 17 Калининского района г. Санкт-Петербурга,Police Department No. 17 Kalininsky District of St. Petersburg,Отдел полиции № 17 Калининского района г. Санкт-Петербурга,60.04608,30.38849
Санкт-Петербург,Отдел полиции № 2 Адмиралтейского района г. Санкт-Петербурга,Police Department No. 2 of the Admiralty District of St. Petersburg,Отдел полиции № 2 Адмиралтейского района г. Санкт-Петербурга,59.92219,30.30659
Санкт-Петербург,Отдел полиции № 82 Красносельского района г. Санкт-Петербурга,Police Department No. 82 Krasnoselsky District of St. Petersburg,Отдел полиции № 82 Красносельского района г. Санкт-Петербурга,59.85347,30.2176
Санкт-Петербург,Отдел полиции № 78 Центрального района г. Санкт-Петербурга,Police Department No. 78 of the Central District of St. Petersburg,Отдел полиции № 78 Центрального района г. Санкт-Петербурга,59.93819,30.35307
Санкт-Петербург,Отдел полиции № 59 Выборгского района г. Санкт-Петербурга,Police Department No. 59 Vyborg district of St. Petersburg,Отдел полиции № 59 Выборгского района г. Санкт-Петербурга,60.0531,30.344
Санкт-Петербург,Отдел полиции № 74 Красносельского района г. Санкт-Петербурга,Police Department No. 74 Krasnoselsky District of St. Petersburg,Отдел полиции № 74 Красносельского района г. Санкт-Петербурга,59.86502,30.18016
Санкт-Петербург,Отдел полиции № 12 Фрунзенского района г. Санкт-Петербурга,Police Department No. 12 of Frunzensky District of St. Petersburg,Отдел полиции № 12 Фрунзенского района г. Санкт-Петербурга,59.86426,30.39881
Санкт-Петербург,Отдел полиции № 25 Приморского района г. Санкт-Петербурга,Police Department No. 25 Primorsky District of St. Petersburg,Отдел полиции № 25 Приморского района г. Санкт-Петербурга,59.99029,30.20835
Санкт-Петербург,Отдел полиции № 18 Петроградского района г. Санкт-Петербурга,Police Department No. 18 Petrogradsky District of St. Petersburg,Отдел полиции № 18 Петроградского района г. Санкт-Петербурга,59.9629,30.29327
Санкт-Петербург,Отдел полиции № 86 Приморского района г. Санкт-Петербурга,Police Department No. 86 Primorsky District of St. Petersburg,Отдел полиции № 86 Приморского района г. Санкт-Петербурга,60.01035,30.2651
Краснодар,ОВД Западного округа г. Краснодара,OVD Western District of Krasnodar,ОВД Западного округа г. Краснодара,45.05317,38.98323
Краснодар,Отдел полиции (Центральный округ) УМВД по городу Краснодару,Police Department (Central District) Ministry of Internal Affairs in the city of Krasnodar,"Отдел полиции (Центральный округ) УМВД по городу Краснодару, Краснодар",45.02027,38.96859
Екатеринбург,Отдел полиции № 9 УМВД по городу Екатеринбургу,Department of Police No. 9 UMVD in the city of Yekaterinburg,"Отдел полиции № 9 УМВД по городу Екатеринбургу, Екатеринбург",56.81432,60.5832
Екатеринбург,Отдел полиции № 11 УМВД по городу Екатеринбургу,Police Department No. 11 UMVD in the city of Yekaterinburg,"Отдел полиции № 11 УМВД по городу Екатеринбургу, Екатеринбург",56.81432,60.5832
Екатеринбург,Отдел полиции № 7 УМВД по городу Екатеринбургу,Department of Police No. 7 Ministry of Internal Affairs in Ekaterinburg,"Отдел полиции № 7 УМВД по городу Екатеринбургу, Екатеринбург",56.81432,60.5832
Саратов,Отдел полиции № 1 в составе УМВД по городу Саратову (Волжский район),Police Department No. 1 as part of the Ministry of Internal Affairs in the city of Saratov (Volzhsky district),"Отдел полиции № 1 в составе УМВД по городу Саратову (Волжский район), Саратов",51.52664,46.03682
Саратов,Отдел полиции № 3 в составе УМВД по городу Саратову (Кировский район),Police Department No. 3 as part of the Ministry of Internal Affairs in the city of Saratov (Kirovsky district),"Отдел полиции № 3 в составе УМВД по городу Саратову (Кировский район), Саратов",51.54118,45.99781
Саратов,Отдел полиции № 6 в составе УМВД по городу Саратову (Фрунзенский район),Department of Police No. 6 as part of the Ministry of Internal Affairs in the city of Saratov (Frunzensky district),"Отдел полиции № 6 в составе УМВД по городу Саратову (Фрунзенский район), Саратов",51.54118,45.99781
Нижний Новгород,Отдел полиции № 5 УМВД по Нижнему Новгороду,Police Department No. 5 Ministry of Internal Affairs on Nizhny Novgorod,"Отдел полиции № 5 УМВД по Нижнему Новгороду, Нижний Новгород",56.33012,43.99134
Нижний Новгород,Отдел полиции № 2 УМВД по Нижнему Новгороду,Police Department No. 2 of the Ministry of Internal Affairs for Nizhny Novgorod,"Отдел полиции № 2 УМВД по Нижнему Новгороду, Нижний Новгород",56.3227,43.95205
Нижний Новгород,Отдел полиции № 1 УМВД по Нижнему Новгороду,Police Department No. 1 Ministry of Internal Affairs on Nizhny Novgorod,"Отдел полиции № 1 УМВД по Нижнему Новгороду, Нижний Новгород",56.23374,43.85312
Нижний Новгород,Отдел полиции № 7 УМВД по Нижнему Новгороду,Police Department No. 7 Ministry of Internal Affairs for Nizhny Novgorod,"Отдел полиции № 7 УМВД по Нижнему Новгороду, Нижний Новгород",56.29392,44.0323
Воронеж,Отдел полиции № 6 УМВД по городу Воронежу (Центральный район),Police Department No. 6 Ministry of Internal Affairs in the city of Voronezh (Central District),"Отдел полиции № 6 УМВД по городу Воронежу (Центральный район), Воронеж",51.6737,39.20625
Воронеж,Отдел полиции № 8 УМВД России по городу Воронежу (Ленинский район),Police Department No. 8 Ministry of Internal Affairs of Russia in the city of Voronezh (Leninsky district),"Отдел полиции № 8 УМВД России по городу Воронежу (Ленинский район), Воронеж",51.63583,39.23407
Калининград,Отдел МВД России по Ленинградскому району города Калининграда,Department of the Ministry of Internal Affairs of Russia in the Leningrad District of the city of Kaliningrad,"Отдел МВД России по Ленинградскому району города Калининграда, Калининград",54.71845,20.50632
Калининград,Отдел полиции № 3 УМВД по городу Калининграду,Police Department No. 3 Ministry of Internal Affairs in the city of Kaliningrad,"Отдел полиции № 3 УМВД по городу Калининграду, Калининград",55.76997,37.61325
Калининград,Отдел полиции № 2 УМВД по городу Калининграду,Police Department No. 2 Ministry of Internal Affairs in the city of Kaliningrad,"Отдел полиции № 2 УМВД по городу Калининграду, Калининград",55.76997,37.61325
Казань,Отдел полиции № 16 «Япеева» УМВД по г. Казани,"Police Department No. 16 ""Yapeeyev"" Ministry of Internal Affairs for the city of Kazan",Отдел полиции № 16 «Япеева» УМВД по г. Казани,55.79825,49.11597
Казань,Отдел полиции № 2 «Вишневский» УМВД по г. Казани,"Police Department No. 2 ""Vishnevsky"" Ministry of Internal Affairs for the city of Kazan",Отдел полиции № 2 «Вишневский» УМВД по г. Казани,55.7821,49.15589
Волгоград,Отдел полиции № 4 УМВД по г. Волгограду,Police Department No. 4 UMVD in Volgograd,Отдел полиции № 4 УМВД по г. Волгограду,48.71067,44.49359
Тюмень,Отдел полиции № 4 УМВД по г. Тюмени,Police Department No. 4 UMVD in Tyumen,Отдел полиции № 4 УМВД по г. Тюмени,57.14975,65.56628
Уфа,Отдел полиции № 6 (Октябрьский район),Police Department No. 6 (October District),"Отдел полиции № 6 (Октябрьский район), Уфа",54.75124,56.0281
Уфа,Отдел полиции № 9 (Кировский район),Police Department No. 9 (Kirovsky District),"Отдел полиции № 9 (Кировский район), Уфа",54.72396,55.9341
Уфа,Отдел полиции № 3 (Кировский район),Police Department No. 3 (Kirovsky District),"Отдел полиции № 3 (Кировский район), Уфа",54.70725,55.97587
Иваново,Отдел полиции № 1 «Ленинский»,"Police Department No. 1 ""Leninsky""","Отдел полиции № 1 «Ленинский», Иваново",55.91326,37.76768
Иваново,Отдел полиции № 2 «Октябрьский,"Police Department No. 2 ""Oktyabrsky","Отдел полиции № 2 «Октябрьский, Иваново",56.99455,40.99617
Пермь,Отдел полиции № 7 (дисл. Свердловский р-н) УМВД по г. Перми,Department of Police No. 7 (District Sverdlovsky district) UMVD in Perm,Отдел полиции № 7 (дисл. Свердловский р-н) УМВД по г. Перми,57.99903,56.24249
Пермь,Отдел полиции № 1 УМВД по городу Пензе,Police Department No. 1 Ministry of Internal Affairs in Penza,"Отдел полиции № 1 УМВД по городу Пензе, Пермь",53.20287,45.02012
Новосибирск,Отдел полиции № 1 «Центральный»,"Police Department No. 1 ""Central""","Отдел полиции № 1 «Центральный», Новосибирск",55.04404,82.92045
Новосибирск,Отдел полиции № 10 «Советский»,"Police Department No. 10 ""Soviet""","Отдел полиции № 10 «Советский», Новосибирск",54.85858,83.09814
Новосибирск,Отдел полиции № 6 «Октябрьский»,"Police Department No. 6 ""Oktyabrsky""","Отдел полиции № 6 «Октябрьский», Новосибирск",55.00933,82.95998
Оренбург,Отдел полиции № 1 МУ МВД «Оренбургское»,"Police Department No. 1 of the Ministry of Internal Affairs ""Orenburg""","Отдел полиции № 1 МУ МВД «Оренбургское», Оренбург",51.8318,55.13799
Киров,Управление МВД России по г. Кирову,Department of the Ministry of Internal Affairs of Russia in Kirov,Управление МВД России по г. Кирову,58.57633,49.62214
Ростов-на-Дону,Отдел полиции № 6 УМВД по городу Ростову-на-Дону,Police Department No. 6 Ministry of Internal Affairs in the city of Rostov-on-Don,"Отдел полиции № 6 УМВД по городу Ростову-на-Дону, Ростов-на-Дону",47.25741,39.76999
Ростов-на-Дону,Отдел полиции № 3 УМВД по городу Ростову-на-Дону,Police Department No. 3 UMVD in the city of Rostov-on-Don,"Отдел полиции № 3 УМВД по городу Ростову-на-Дону, Ростов-на-Дону",47.22495,39.71789
Иркутск,Отдел полиции № 5 УМВД по г. Иркутску,Police Department No. 5 Umvd in Irkutsk,Отдел полиции № 5 УМВД по г. Иркутску,52.29083,104.294
Псков,Отдел полиции № 1 УМВД по городу Пскову,Police Department No. 1 Ministry of Internal Affairs for the city of Pskov,"Отдел полиции № 1 УМВД по городу Пскову, Псков",57.82219,28.36455
Колпино,Отдел полиции № 55 Колпинского района г. Санкт-Петербурга,Police Department No. 55 Kolpinsky District of St. Petersburg,Отдел полиции № 55 Колпинского района г. Санкт-Петербурга,59.73548,30.58887
Великий Новгород,Управление МВД России по городу Великий Новгород,Office of the Ministry of Internal Affairs of Russia in the city Veliky Novgorod,"Управление МВД России по городу Великий Новгород, Великий Новгород",58.54443,31.30573
Сыктывкар,УМВД России по городу Сыктывкару,Ministry of Internal Affairs of Russia in the city Syktyvkar,"УМВД России по городу Сыктывкару, Сыктывкар",61.67454,50.82505
